#TTL Epidemic PRoPHETv1 PRoPHETV2
60 4.764 1.653 1.428
120 21.292 3.009 2.405
180 48.303 17.478 3.339
240 61.130 141.088 4.127
300 116.944 337.282 5.935
360 112.675 543.571 16.298
420 157.058 962.469 39.306
480 135.071 1284.745 48.738
540 189.833 1556.847 86.501
600 191.277 1740.167 175.843
660 169.818 1961.023 197.933
720 198.420 2312.965 251.944
