#TTL Epidemic PRoPHETv1 PRoPHETV2
60 1533.571 1384.757 1322.161
120 3460.439 2943.088 3045.360
180 5323.876 5041.521 5083.508
240 7508.337 7263.003 6999.044
300 9436.100 9289.844 8950.088
360 11350.550 11408.427 10817.824
420 13198.371 13342.023 12880.140
480 14745.603 15234.201 14797.225
540 16187.868 17112.496 16660.326
600 17281.172 18493.624 18411.252
660 18613.751 20054.054 19978.653
720 19736.726 21707.150 21400.417
