#TTL Epidemic PRoPHETv1 PRoPHETV2
60 1533.571 1384.757 1322.161
120 3461.599 2943.088 3045.360
180 5243.040 5052.794 5083.508
240 7405.456 7225.786 6981.348
300 9107.615 9117.264 8928.915
360 11075.036 11189.496 10734.380
420 12647.601 13055.982 12675.364
480 14192.066 14773.047 14433.583
540 15395.492 16318.679 16161.401
600 16729.099 17841.017 17526.499
660 17815.993 19048.565 18968.795
720 18592.684 20010.134 20008.677
